date,Time(UTC+10:00),Temperature(°C),Apparent Temp(°C),Dew Point(C),Rel. Humid.(%),Δ T(C),Wind(km/h)/(kt),Gust(km/h)/(kt),WindDir.,Rain Since 9am(mm),MSLP(hPa),GFDI
2021-07-08 12:00:00,12:00,12.4,8.6,7.5,72,2.4,9,11,NNE,0.0,1022.0,3
2021-07-08 11:50:00,11:50,12.5,9.0,7.1,69,2.6,8,9,NNE,0.0,3,
2021-07-08 11:40:00,11:40,12.7,10.0,7.3,69,2.6,6,8,N,0.0,2,
2021-07-08 11:30:00,11:30,12.9,9.9,7.8,71,2.5,7,9,N,0.0,1022.4,2
2021-07-08 11:20:00,11:20,12.7,10.0,7.3,69,2.6,6,8,N,0.0,2,
2021-07-08 11:10:00,11:10,12.4,9.1,6.6,68,2.8,7,8,NNW,0.0,3,
2021-07-08 11:00:00,11:00,12.6,9.8,7.1,69,2.6,6,9,NNW,0.0,1022.9,2
2021-07-08 10:50:00,10:50,12.5,9.3,6.9,68,2.7,7,8,NNW,0.0,3,
2021-07-08 10:40:00,10:40,12.6,10.3,7.4,70,2.5,5,6,NW,0.0,2,
2021-07-08 10:30:00,10:30,12.3,9.9,7.0,70,2.5,5,7,NW,0.0,1023.3,2
2021-07-08 10:20:00,10:20,12.0,9.9,6.7,70,2.5,4,5,NW,0.0,1,
2021-07-08 10:10:00,10:10,11.9,10.0,6.8,71,2.4,3,4,NW,0.0,1,
2021-07-08 10:00:00,10:00,12.4,10.4,7.3,71,2.5,4,6,NW,0.0,1023.3,1
2021-07-08 09:50:00,09:50,12.3,10.5,7.0,70,2.5,3,4,NW,0.0,1,
2021-07-08 09:40:00,09:40,12.3,10.5,7.2,71,2.5,3,4,NW,0.0,1,
2021-07-08 09:30:00,09:30,12.2,9.8,7.1,71,2.4,5,7,NW,0.0,1023.3,2
2021-07-08 09:20:00,09:20,12.3,10.4,7.4,72,2.4,4,5,NW,0.0,1,
2021-07-08 09:10:00,09:10,12.0,9.6,7.1,72,2.3,5,6,NW,0.0,2,
2021-07-08 09:00:00,09:00,12.0,10.1,6.9,71,2.4,3,6,NW,0.0,1023.5,1
2021-07-08 08:50:00,08:50,11.8,9.9,7.5,75,2.1,4,5,WNW,0.0,1,
2021-07-08 08:40:00,08:40,11.8,9.9,7.5,75,2.1,4,5,WNW,0.0,1,
2021-07-08 08:30:00,08:30,11.4,8.6,6.9,74,2.1,6,8,NNW,0.0,1023.5,2
2021-07-08 08:20:00,08:20,11.3,8.5,7.0,75,2.0,6,7,NNW,0.0,2,
2021-07-08 08:10:00,08:10,11.2,9.2,6.9,75,2.0,4,5,NW,0.0,1,
2021-07-08 08:00:00,08:00,11.0,8.2,6.9,76,1.9,6,7,NW,0.0,1023.6,2
2021-07-08 07:50:00,07:50,10.8,8.0,6.9,77,1.8,6,7,NNW,0.0,2,
2021-07-08 07:40:00,07:40,10.5,7.6,6.6,77,1.8,6,7,NNW,0.0,2,
2021-07-08 07:30:00,07:30,10.3,7.8,6.6,78,1.7,5,7,NNW,0.0,1023.5,1
2021-07-08 07:20:00,07:20,10.3,7.8,6.6,78,1.7,5,6,NNW,0.0,1,
2021-07-08 07:10:00,07:10,10.2,7.2,6.1,76,1.9,6,7,N,0.0,2,
2021-07-08 07:00:00,07:00,10.3,7.9,7.0,80,1.6,5,6,NW,0.0,1023.6,1
2021-07-08 06:50:00,06:50,10.5,8.1,7.0,79,1.7,5,6,NW,0.0,1,
2021-07-08 06:40:00,06:40,10.3,7.4,6.4,77,1.8,6,6,NNW,0.0,2,
2021-07-08 06:30:00,06:30,10.5,8.0,6.5,76,1.9,5,7,NNW,0.0,1023.5,1
2021-07-08 06:20:00,06:20,10.2,7.6,6.3,77,1.8,5,5,NNW,0.0,1,
2021-07-08 06:10:00,06:10,10.3,8.2,6.8,79,1.6,4,5,NNW,0.0,1,
2021-07-08 06:00:00,06:00,10.4,8.5,6.9,79,1.6,3,4,NW,0.0,1023.3,1
2021-07-08 05:50:00,05:50,10.3,8.8,6.6,78,1.7,2,2,NW,0.0,1,
2021-07-08 05:40:00,05:40,10.1,8.2,6.6,79,1.6,3,3,NW,0.0,1,
2021-07-08 05:30:00,05:30,10.0,7.8,6.2,77,1.8,4,5,WNW,0.0,1023.2,1
2021-07-08 05:20:00,05:20,10.1,7.9,6.2,77,1.8,4,5,WNW,0.0,1,
2021-07-08 05:10:00,05:10,10.2,7.3,6.5,78,1.7,6,6,WNW,0.0,2,
2021-07-08 05:00:00,05:00,10.3,7.8,6.6,78,1.7,5,7,WNW,0.0,1023.1,1
2021-07-08 04:50:00,04:50,10.3,7.4,6.4,77,1.8,6,7,WNW,0.0,2,
2021-07-08 04:40:00,04:40,10.4,7.5,6.7,78,1.7,6,6,WNW,0.0,2,
2021-07-08 04:30:00,04:30,10.4,7.6,6.9,79,1.6,6,7,WNW,0.0,1023.0,2
2021-07-08 04:20:00,04:20,10.3,7.9,6.8,79,1.6,5,6,WNW,0.0,1,
2021-07-08 04:10:00,04:10,10.3,7.8,6.6,78,1.7,5,6,WNW,0.0,1,
2021-07-08 04:00:00,04:00,10.4,7.5,6.5,77,1.8,6,8,WNW,0.0,1023.1,2
2021-07-08 03:50:00,03:50,10.4,7.1,6.3,76,1.9,7,8,WNW,0.0,2,
2021-07-08 03:40:00,03:40,10.5,7.3,6.8,78,1.7,7,9,WNW,0.0,2,
2021-07-08 03:30:00,03:30,10.6,7.9,7.5,81,1.5,6,8,WNW,0.0,1023.2,2
2021-07-08 03:20:00,03:20,10.6,7.4,6.9,78,1.7,7,8,NW,0.0,2,
2021-07-08 03:10:00,03:10,10.8,7.6,6.9,77,1.8,7,9,NW,0.0,2,
2021-07-08 03:00:00,03:00,10.8,7.2,6.7,76,1.9,8,11,NW,0.0,1023.5,3
2021-07-08 02:50:00,02:50,10.8,7.6,6.9,77,1.8,7,9,NW,0.0,2,
2021-07-08 02:40:00,02:40,10.9,7.5,7.7,80,1.5,8,9,NW,0.0,2,
2021-07-08 02:30:00,02:30,11.0,8.0,7.7,80,1.6,7,10,WNW,0.0,1023.7,2
2021-07-08 02:20:00,02:20,10.9,7.9,7.6,80,1.6,7,8,WNW,0.0,2,
2021-07-08 02:10:00,02:10,10.8,7.8,7.6,80,1.5,7,8,WNW,0.0,2,
2021-07-08 02:00:00,02:00,10.6,7.1,7.3,80,1.6,8,9,WNW,0.0,1023.8,2
2021-07-08 01:50:00,01:50,10.5,7.0,7.3,80,1.5,8,9,WNW,0.0,2,
2021-07-08 01:40:00,01:40,10.8,7.4,7.8,82,1.4,8,9,WNW,0.0,2,
2021-07-08 01:30:00,01:30,10.8,7.8,7.7,81,1.5,7,8,WNW,0.0,1023.9,2
2021-07-08 01:20:00,01:20,11.0,8.0,7.5,79,1.7,7,7,WNW,0.0,2,
2021-07-08 01:10:00,01:10,11.0,7.9,7.3,78,1.8,7,8,WNW,0.0,2,
2021-07-08 01:00:00,01:00,11.0,8.3,7.3,78,1.8,6,7,WNW,0.0,1024.0,2
2021-07-08 00:50:00,00:50,11.1,8.9,7.9,81,1.5,5,6,WNW,0.0,1,
2021-07-08 00:40:00,00:40,11.2,8.7,8.0,81,1.6,6,6,WNW,0.0,2,
2021-07-08 00:30:00,00:30,11.3,8.7,7.8,79,1.7,6,8,WNW,0.0,1024.2,2
2021-07-08 00:20:00,00:20,11.0,8.0,7.5,79,1.7,7,8,WNW,0.0,2,
2021-07-08 00:10:00,00:10,10.9,8.7,7.7,80,1.5,5,5,WNW,0.0,1,
2021-07-08 00:00:00,00:00,10.8,8.2,7.7,81,1.5,6,8,WNW,0.0,1024.4,2
2021-07-07 23:50:00,23:50,10.9,7.9,7.7,80,1.5,7,7,WNW,0.0,2,
2021-07-07 23:40:00,23:40,11.2,8.7,8.2,82,1.5,6,6,WNW,0.0,2,
2021-07-07 23:30:00,23:30,11.2,8.6,7.9,80,1.6,6,7,WNW,0.0,1024.5,2
2021-07-07 23:20:00,23:20,11.2,8.7,8.0,81,1.6,6,7,WNW,0.0,2,
2021-07-07 23:10:00,23:10,11.3,8.9,8.5,83,1.4,6,6,WNW,0.0,2,
2021-07-07 23:00:00,23:00,11.4,9.4,8.6,83,1.4,5,6,WNW,0.0,1024.6,1
2021-07-07 22:50:00,22:50,11.5,9.5,8.7,83,1.4,5,6,WNW,0.0,1,
2021-07-07 22:40:00,22:40,11.4,9.8,8.6,83,1.4,4,5,NW,0.0,1,
2021-07-07 22:30:00,22:30,11.3,9.3,8.5,83,1.4,5,6,WNW,0.0,1024.6,1
2021-07-07 22:20:00,22:20,11.4,9.7,8.4,82,1.5,4,5,W,0.0,1,
2021-07-07 22:10:00,22:10,11.5,9.8,8.5,82,1.5,4,4,WNW,0.0,1,
2021-07-07 22:00:00,22:00,11.4,9.9,8.3,81,1.5,3,5,WNW,0.0,1024.6,1
2021-07-07 21:50:00,21:50,11.3,9.5,8.1,81,1.6,4,5,WNW,0.0,1,
2021-07-07 21:40:00,21:40,11.4,9.7,8.2,81,1.6,4,5,W,0.0,1,
2021-07-07 21:30:00,21:30,11.6,9.5,8.3,80,1.6,5,6,WNW,0.0,1024.5,1
2021-07-07 21:20:00,21:20,11.6,9.5,8.2,79,1.7,5,6,NW,0.0,1,
2021-07-07 21:10:00,21:10,12.0,9.9,8.2,77,1.9,5,6,WNW,0.0,2,
2021-07-07 21:00:00,21:00,12.4,10.8,8.1,75,2.1,3,5,NNW,0.0,1024.5,1
2021-07-07 20:50:00,20:50,12.6,10.7,7.4,70,2.5,4,5,NE,0.0,1,
2021-07-07 20:40:00,20:40,12.6,10.5,6.8,68,2.8,4,4,E,0.0,1,
2021-07-07 20:30:00,20:30,12.5,10.5,7.0,69,2.6,4,5,E,0.0,1024.4,1
2021-07-07 20:20:00,20:20,12.6,10.6,7.0,68,2.7,4,4,ESE,0.0,1,
2021-07-07 20:10:00,20:10,12.6,10.8,7.0,68,2.7,3,4,ESE,0.0,1,
2021-07-07 20:00:00,20:00,12.6,11.2,7.1,69,2.6,2,4,E,0.0,1024.5,1
2021-07-07 19:50:00,19:50,12.5,10.5,6.9,68,2.7,4,4,ESE,0.0,1,
2021-07-07 19:40:00,19:40,12.5,10.6,6.7,68,2.8,3,4,ESE,0.0,1,
2021-07-07 19:30:00,19:30,12.6,10.7,6.9,68,2.7,3,5,E,0.0,1024.3,1
2021-07-07 19:20:00,19:20,12.6,10.6,7.0,68,2.7,4,5,E,0.0,1,
2021-07-07 19:10:00,19:10,12.4,10.3,6.6,68,2.8,4,5,E,0.0,1,
2021-07-07 19:00:00,19:00,12.3,9.9,7.0,70,2.5,5,6,ESE,0.0,1024.0,2
2021-07-07 18:50:00,18:50,12.5,9.7,6.9,68,2.7,6,6,ESE,0.0,2,
2021-07-07 18:40:00,18:40,12.4,10.0,7.0,69,2.6,5,6,ESE,0.0,2,
2021-07-07 18:30:00,18:30,12.3,9.9,7.0,70,2.5,5,6,ESE,0.0,1023.9,2
2021-07-07 18:20:00,18:20,12.2,10.0,6.4,67,2.7,4,5,E,0.0,1,
2021-07-07 18:10:00,18:10,12.3,9.8,6.7,68,2.7,5,5,ESE,0.0,2,
2021-07-07 18:00:00,18:00,12.2,9.8,7.1,71,2.4,5,7,ESE,0.0,1023.8,2
2021-07-07 17:50:00,17:50,12.2,9.8,7.1,71,2.4,5,6,ESE,0.0,2,
2021-07-07 17:40:00,17:40,12.3,10.2,6.7,68,2.7,4,4,ESE,0.0,1,
2021-07-07 17:30:00,17:30,12.3,10.3,7.0,70,2.5,4,6,ESE,0.0,1023.7,1
2021-07-07 17:20:00,17:20,12.2,9.8,7.1,71,2.4,5,5,ESE,0.0,2,
2021-07-07 17:10:00,17:10,12.2,9.8,6.9,70,2.5,5,6,ESE,0.0,2,
2021-07-07 17:00:00,17:00,12.2,9.4,6.9,70,2.5,6,7,ESE,0.0,1023.7,2
2021-07-07 16:50:00,16:50,12.3,10.2,6.7,68,2.7,4,5,ESE,0.0,1,
2021-07-07 16:40:00,16:40,12.2,9.7,6.6,68,2.7,5,6,ESE,0.0,2,
2021-07-07 16:30:00,16:30,12.3,9.8,6.6,68,2.7,5,7,ESE,0.0,1023.6,2
2021-07-07 16:20:00,16:20,12.3,10.1,6.3,67,2.8,4,5,ESE,0.0,1,
2021-07-07 16:10:00,16:10,12.2,9.2,6.2,67,2.8,6,7,SE,0.0,2,
2021-07-07 16:00:00,16:00,12.3,9.3,6.1,66,2.9,6,7,ESE,0.0,1023.5,2
2021-07-07 15:50:00,15:50,12.4,9.8,6.0,65,3.0,5,6,SE,0.0,2,
2021-07-07 15:40:00,15:40,12.4,9.7,5.7,63,3.1,5,6,SSE,0.0,2,
2021-07-07 15:30:00,15:30,12.5,10.2,5.7,63,3.2,4,6,SE,0.0,1023.7,1
